magnitude,cdi,mmi,sig,nst,dmin,Year,Month
7,8,7,768,117,0.509,2022,11
6.9,4,4,735,99,2.229,2022,11
7,3,3,755,147,3.125,2022,11
7.3,5,5,833,149,1.865,2022,11
6.6,0,2,670,131,4.998,2022,11
7,4,3,755,142,4.578,2022,11
6.8,1,3,711,136,4.678,2022,11
6.7,7,6,797,145,1.151,2022,10
6.8,8,7,1179,175,2.137,2022,9
7.6,9,8,1799,271,1.153,2022,9
6.9,9,9,887,215,0.401,2022,9
6.5,7,7,756,178,0.43,2022,9
7,7,5,761,192,2.977,2022,9
7.6,8,8,965,272,3.158,2022,9
6.6,9,8,1043,141,8.454,2022,9
6.6,7,6,672,68,5.293,2022,8
7,9,8,1351,152,5.276,2022,7
6.5,3,2,653,236,1.999,2022,6
7.2,7,5,876,144,2.494,2022,5
6.9,2,5,733,127,0.371,2022,5
6.8,6,5,762,162,1.505,2022,5
6.6,6,5,762,0,0.914,2022,4
7,6,4,763,0,2.705,2022,3
6.9,6,4,738,0,2.697,2022,3
6.7,8,7,806,0,0.289,2022,3
7.3,9,8,2397,0,2.936,2022,3
6.7,9,6,708,0,2.188,2022,3
6.6,2,7,670,0,0.827,2022,3
6.8,2,3,712,0,5.78,2022,2
6.5,8,6,690,0,3.026,2022,2
6.5,7,4,651,0,1.088,2022,1
6.6,8,6,785,0,2.418,2022,1
6.5,0,3,650,97,1.61607,2022,1
6.5,0,3,650,23,0,2022,1
6.6,8,5,674,0,0.507,2022,1
6.7,0,4,691,50,0.936943,2022,1
6.7,0,4,691,20,0,2022,1
6.8,7,6,730,0,0.92,2022,1
6.6,6,6,976,0,1.168,2022,1
6.6,9,8,1012,0,2.685,2022,1
7.3,8,7,921,0,3.713,2021,12
7.3,9,5,854,0,1.025,2021,12
7.5,8,8,1094,0,4.951,2021,11
6.6,7,4,688,0,3.259,2021,11
6.9,8,6,995,0,0,2021,10
6.9,4,3,740,0,4.778,2021,10
7.3,4,4,826,0,4.493,2021,10
6.5,7,5,684,0,0.993,2021,9
7,8,8,2504,0,0.07,2021,9
7.1,1,4,776,0,9.799,2021,8
6.6,1,3,670,0,8.865,2021,8
6.9,8,7,741,0,0.579,2021,8
6.9,6,4,734,0,8.363,2021,8
7.2,9,8,2331,0,1.178,2021,8
6.9,5,4,738,0,0,2021,8
6.9,5,4,738,0,1.173,2021,8
8.1,0,7,1009,0,7.463,2021,8
7.5,9,6,868,0,7.227,2021,8
7.1,9,7,846,0,1.273,2021,8
8.2,8,6,1237,0,0.875,2021,7
8.2,8,7,1252,0,0,2021,7
6.7,8,5,935,0,8.139,2021,7
