productName,farmPrice,atlantaRetail,chicagoRetail,losangelesRetail,newyorkRetail,R,G,B
Strawberries,$1.16,$2.23,$1.70,$1.99,$2.54,250,0,0
Romaine Lettuce,$0.35,$1.72,$2.00,$1.69,$1.99,101,237,74
Red Leaf Lettuce,$0.32,$1.84,$1.84,$1.69,$1.89,237,101,74
Potatoes,$1.50,$5.32,$5.14,$3.99,$6.22,145,104,100
Oranges,$0.41,$1.42,$1.45,$1.34,$2.05,255,167,0
Iceberg Lettuce,$0.35,$1.39,$1.46,$1.69,$1.56,43,255,0
Green Leaf Lettuce,$0.31,$1.72,$1.70,$1.69,$1.71,43,150,23
Celery,$2.83,$1.89,$2.36,$2.52,$2.49,144,224,128
Cauliflower,$1.22,$3.24,$4.35,$4.03,$2.97,188,214,182
Carrots,$0.24,$0.95,$0.95,$0.99,$1.22,255,106,0
Cantaloupe,$1.25,$2.34,$2.87,$2.87,$2.94,255,170,112
Broccoli Crowns,$0.73,$1.49,$1.80,$1.99,$1.99,35,133,0
Avocados,$1.23,$1.16,$1.82,$1.75,$1.69,53,184,0
